Tweet,Sentiment
"RT @iChowk_: @sardanarohit   -         !
https://t.co/lIVkcXZbvC
#JammuAndKashmir #CeaseFireinKashmir #",0.0
RT @idsameer: The Karnataka shot in the arm for Modi https://t.co/9TPgUvApz3 via @FinancialXpress,0.0
"RT @bprerna: Karnataka Governor Who Invited Yeddyurappa To Take Oath Was An RSS Worker, Minister In Modi's Gujarat Cabinet https://t.co/fXX",0.0
"RT @kpmaurya1: The Cabinet Committee on Economic Affairs chaired by the Hon. Prime Minister, Shri Narendra Modi today has approved an initi",0.2
"RT @News18India: #Breaking  :  PM           : 
@rssurjewala

https:/",0.0
RT @bhatia_niraj23: @RahulGandhi: Narendra Modi ji cannot see the corruption of Chhattisgarh CM .Name of Chief Minister Raman Singh and his,0.0
"RT @rahulroushan: Man wishes for Modi to be assassinated, and @htTweets says it is 'tweeting against Modi's policy'. Explains why RaGa ment",0.0
"RT @kpmaurya1: The Cabinet Committee on Economic Affairs chaired by the Hon. Prime Minister, Shri Narendra Modi today has approved an initi",0.2
"RT @report_real: Modi considers #Chhattisgarh farmers a burden: #RahulGandhi
#_
https://t.co/3H1hKDy0sw",0.0
"RT @ARanganathan72: Since it came to power in 2014, this shameless @narendramodi govt has spent three-quarters of a billion dollars on ads.",-0.1
"RT @sanjivbhatt: We, the people of India, are letting Modi and his band of unscrupulous thugs, treat our country like their personal fiefdo",0.0
"RT @WordOfTheFree: After calling Modi and Shah North Indian imports, @RahulGandhi's party now exporting their Karnataka MLAs to North India",0.0
"@htTweets It happened after held only one election, &amp; modi advices to election commission that all election should https://t.co/3r2M9aRs8a",0.0
@scroll_in Modi is a loafer,0.0
RT @JhaSanjay: Internet in the time of Mahabharata. Now Narendra Modi -Amit Shah are proving 104 &gt; 118. #BJPChor100Crore,0.0
